"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01011","0","10","70","0","2017","A","",149,3003,99965806,23168405,435543,640,33294,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,3.5,40,1.3,2037220,2.1,771439,3.4,-9107,-2.0,4,0.6,244,0.7
"01011","1","10","71","0","2017","A","",6,35,1816763,0,0,1003,52156,"",6.63,0.60,0.64,0.00,0.00,1.08,1.08,"",0,0.0,-3,-7.9,-58911,-3.1,0,0.0,0,0.0,45,4.7,2359,4.7
"01011","2","10","71","0","2017","A","",10,230,10056881,0,0,842,43773,"",9.50,2.38,2.95,0.00,0.00,1.24,1.24,"",1,11.1,-7,-3.0,-665314,-6.2,0,0.0,0,0.0,-27,-3.1,-1437,-3.2
"01011","3","10","71","0","2017","A","",14,403,12500550,0,0,597,31038,"",5.47,1.37,1.43,0.00,0.00,1.04,1.04,"",0,0.0,5,1.3,247929,2.0,0,0.0,0,0.0,5,0.8,265,0.9
"01011","5","10","71","0","2017","A","",120,2335,75591612,23168405,435543,623,32371,"",0.83,0.91,0.89,1.02,1.01,0.97,0.97,"",4,3.4,45,2.0,2513516,3.4,771439,3.4,-9107,-2.0,9,1.5,459,1.4
"01013","0","10","70","0","2017","A","",488,6695,224687545,54737050,813193,645,33562,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-208,-3.0,-5578603,-2.4,-2982226,-5.2,-184421,-18.5,3,0.5,204,0.6
"01013","1","10","71","0","2017","A","",5,41,1857196,0,0,869,45206,"",1.69,0.31,0.29,0.00,0.00,0.93,0.93,"",0,0.0,0,0.0,-1020,-0.1,0,0.0,0,0.0,6,0.7,340,0.8
"01013","2","10","71","0","2017","A","",12,99,4268799,0,0,829,43119,"",3.48,0.46,0.56,0.00,0.00,1.21,1.21,"",-1,-7.7,1,1.0,18736,0.4,0,0.0,0,0.0,-9,-1.1,-434,-1.0
"01013","3","10","71","0","2017","A","",24,780,27518285,217079,2514,678,35261,"",2.86,1.19,1.40,0.29,0.60,1.17,1.17,"",0,0.0,-13,-1.6,-45316,-0.2,-7862,-3.5,-3513,-58.3,10,1.5,513,1.5
"01013","5","10","71","0","2017","A","",447,5774,191043265,54519971,810679,636,33085,"",0.94,1.01,1.00,1.02,1.00,0.99,0.99,"",2,0.4,-197,-3.3,-5551003,-2.8,-2974364,-5.2,-180908,-18.2,3,0.5,158,0.5
"01015","0","10","70","0","2017","A","",2514,44240,1722374178,305937731,4554858,749,38932,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.2,477,1.1,74123640,4.5,10878092,3.7,-32745,-0.7,25,3.5,1269,3.4
"01015","1","10","71","0","2017","A","",44,3574,239913148,0,0,1291,67126,"",2.88,4.15,4.92,0.00,0.00,1.19,1.19,"",1,2.3,-92,-2.5,9729880,4.2,0,0.0,0,0.0,83,6.9,4329,6.9
"01015","2","10","71","0","2017","A","",27,1661,75482707,0,0,874,45456,"",1.52,1.17,1.28,0.00,0.00,1.10,1.10,"",1,3.8,-14,-0.8,544913,0.7,0,0.0,0,0.0,13,1.5,708,1.6
"01015","3","10","71","0","2017","A","",72,6471,255193779,1284486,13666,758,39434,"",1.67,1.50,1.69,0.31,0.58,1.13,1.13,"",2,2.9,186,3.0,13005450,5.4,47225,3.8,2460,22.0,17,2.3,901,2.3
"01015","5","10","71","0","2017","A","",2371,32534,1151784544,304653245,4541192,681,35402,"",0.97,0.86,0.79,1.02,1.00,0.91,0.91,"",3,0.1,396,1.2,50843397,4.6,10830867,3.7,-35205,-0.8,22,3.3,1145,3.3
"01017","0","10","70","0","2017","A","",596,8312,306127118,58691735,644642,708,36830,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.7,255,3.2,18129015,6.3,1076235,1.9,-122404,-16.0,21,3.1,1084,3.0
"01017","1","10","71","0","2017","A","",5,53,2574544,0,0,931,48424,"",1.38,0.33,0.30,0.00,0.00,0.91,0.91,"",0,0.0,2,3.9,64067,2.6,0,0.0,0,0.0,-23,-2.4,-1207,-2.4
"01017","2","10","71","0","2017","A","",15,146,5040980,0,0,663,34488,"",3.56,0.55,0.48,0.00,0.00,0.88,0.88,"",0,0.0,0,0.0,-12797,-0.3,0,0.0,0,0.0,-4,-0.6,-206,-0.6
"01017","3","10","71","0","2017","A","",59,1595,61491785,427097,3456,741,38543,"",5.76,1.97,2.29,0.53,1.04,1.17,1.17,"",-1,-1.7,-29,-1.8,3272699,5.6,-2949,-0.7,-1046,-23.2,51,7.4,2685,7.5
"01017","5","10","71","0","2017","A","",516,6517,237019809,58264638,641186,699,36368,"",0.89,0.92,0.91,1.01,1.00,0.99,0.99,"",-4,-0.8,280,4.5,14805046,6.7,1079184,1.9,-121358,-15.9,14,2.0,739,2.1
"01019","0","10","70","0","2017","A","",402,5040,171463314,35269372,512972,654,34022,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.2,-34,-0.7,3354256,2.0,220791,0.6,-65843,-11.4,17,2.7,892,2.7
"01019","1","10","71","0","2017","A","",8,47,2266550,0,0,921,47885,"",3.28,0.48,0.47,0.00,0.00,0.97,0.97,"",0,0.0,1,2.2,78074,3.6,0,0.0,0,0.0,1,0.1,49,0.1
"01019","2","10","71","0","2017","A","",11,91,3611091,0,0,765,39755,"",3.87,0.56,0.62,0.00,0.00,1.10,1.10,"",0,0.0,-2,-2.2,-115390,-3.1,0,0.0,0,0.0,-6,-0.8,-315,-0.8
"01019","3","10","71","0","2017","A","",24,1139,40062565,459351,3468,676,35163,"",3.47,2.32,2.67,0.96,1.31,1.15,1.15,"",1,4.3,-4,-0.3,1516884,3.9,4995,1.1,-3279,-48.6,27,4.2,1440,4.3
"01019","5","10","71","0","2017","A","",359,3762,125523108,34810021,509504,642,33363,"",0.92,0.88,0.86,1.01,1.00,0.98,0.98,"",-6,-1.6,-31,-0.8,1874688,1.5,215796,0.6,-62564,-10.9,15,2.4,760,2.3
"01021","0","10","70","0","2017","A","",766,9302,341739577,74914153,936982,707,36739,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.1,-106,-1.1,16833640,5.2,-1578135,-2.1,-352212,-27.3,43,6.5,2205,6.4
"01021","1","10","71","0","2017","A","",6,61,2761787,0,0,867,45090,"",1.29,0.34,0.29,0.00,0.00,0.84,0.85,"",0,0.0,-1,-1.6,30089,1.1,0,0.0,0,0.0,23,2.7,1207,2.8
"01021","2","10","71","0","2017","A","",14,236,10331205,0,0,844,43869,"",2.59,0.79,0.89,0.00,0.00,1.12,1.12,"",0,0.0,-8,-3.3,341599,3.4,0,0.0,0,0.0,55,7.0,2858,7.0
"01021","3","10","71","0","2017","A","",33,1513,52438042,1999857,12813,667,34670,"",2.51,1.67,1.75,1.96,2.66,1.05,1.05,"",0,0.0,-35,-2.3,2668288,5.4,95454,5.0,-708,-5.2,49,7.9,2526,7.9
"01021","5","10","71","0","2017","A","",713,7493,276208543,72914296,924169,709,36864,"",0.96,0.95,0.95,0.99,0.99,1.00,1.00,"",8,1.1,-61,-0.8,13793664,5.3,-1673589,-2.2,-351504,-27.6,41,6.1,2126,6.1
"01023","0","10","70","0","2017","A","",291,3439,163240243,27017936,377759,913,47465,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.8,106,3.2,6487736,4.1,2066334,8.3,27143,7.7,9,1.0,432,0.9
"01023","1","10","71","0","2017","A","",7,25,1053338,0,0,808,41994,"",3.96,0.37,0.23,0.00,0.00,0.61,0.61,"",0,0.0,0,0.0,77984,8.0,0,0.0,0,0.0,50,6.6,2586,6.6
"01023","2","10","71","0","2017","A","",11,70,2240084,0,0,612,31812,"",5.35,0.63,0.40,0.00,0.00,0.63,0.63,"",0,0.0,2,2.9,-101611,-4.3,0,0.0,0,0.0,-49,-7.4,-2540,-7.4
"01023","3","10","71","0","2017","A","",23,390,12837130,293634,2301,633,32916,"",4.60,1.16,0.90,0.80,1.18,0.77,0.77,"",0,0.0,-4,-1.0,309606,2.5,22207,8.2,201,9.6,21,3.4,1080,3.4
"01023","5","10","71","0","2017","A","",250,2954,147109691,26724302,375458,958,49806,"",0.89,1.01,1.06,1.01,1.00,1.05,1.05,"",8,3.3,108,3.8,6201757,4.4,2044127,8.3,26942,7.7,6,0.6,302,0.6
"01025","0","10","70","0","2017","A","",656,8058,310329453,58567620,726905,741,38513,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.9,-92,-1.1,1871420,0.6,699584,1.2,-43871,-5.7,13,1.8,667,1.8
"01025","1","10","71","0","2017","A","",14,67,3844779,0,0,1102,57313,"",3.51,0.43,0.44,0.00,0.00,1.02,1.02,"",0,0.0,-9,-11.8,-435996,-10.2,0,0.0,0,0.0,25,2.3,1294,2.3
"01025","2","10","71","0","2017","A","",17,351,15645676,0,0,857,44564,"",3.67,1.35,1.48,0.00,0.00,1.09,1.09,"",-1,-5.6,-1,-0.3,229392,1.5,0,0.0,0,0.0,15,1.8,788,1.8
"01025","3","10","71","0","2017","A","",38,1345,47410684,1336758,13520,678,35243,"",3.37,1.71,1.74,1.67,3.61,1.02,1.02,"",0,0.0,21,1.6,96469,0.2,5977,0.4,-118,-0.9,-9,-1.3,-502,-1.4
"01025","5","10","71","0","2017","A","",587,6294,243428314,57230862,713385,744,38674,"",0.92,0.92,0.92,1.00,0.99,1.00,1.01,"",-4,-0.7,-104,-1.6,1981555,0.8,693607,1.2,-43753,-5.8,18,2.5,936,2.5
"01027","0","10","70","0","2017","A","",210,4102,136829292,31479964,307590,641,33356,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.4,177,4.5,8324293,6.5,2308607,7.9,-40091,-11.5,11,1.7,619,1.9
"01027","1","10","71","0","2017","A","",6,56,2780091,0,0,959,49867,"",4.70,0.70,0.72,0.00,0.00,1.03,1.03,"",0,0.0,4,7.7,120584,4.5,0,0.0,0,0.0,-23,-2.3,-1196,-2.3
"01027","2","10","71","0","2017","A","",9,50,1877628,0,0,720,37428,"",6.06,0.38,0.40,0.00,0.00,1.06,1.06,"",0,0.0,1,2.0,-80017,-4.1,0,0.0,0,0.0,-48,-6.2,-2524,-6.3
"01027","3","10","71","0","2017","A","",17,849,25850317,651362,5143,586,30460,"",4.71,2.12,2.16,1.52,3.25,1.02,1.02,"",-2,-10.5,0,0.0,341711,1.3,8032,1.2,-844,-14.1,8,1.4,406,1.4
"01027","5","10","71","0","2017","A","",178,3148,106321256,30828602,302447,650,33780,"",0.87,0.90,0.91,1.00,0.99,1.01,1.01,"",-1,-0.6,172,5.8,7942015,8.1,2300575,8.1,-39247,-11.5,14,2.2,718,2.2
"01029","0","10","70","0","2017","A","",216,2140,91541546,15245919,292162,823,42776,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.9,-122,-5.4,-2773500,-2.9,-868298,-5.4,-81372,-21.8,21,2.6,1084,2.6
"01029","1","10","71","0","2017","A","",7,43,2228671,0,0,1003,52133,"",5.34,1.03,0.86,0.00,0.00,0.84,0.84,"",1,16.7,2,4.9,9427,0.4,0,0.0,0,0.0,-42,-4.0,-2216,-4.1
"01029","2","10","71","0","2017","A","",11,118,3458013,0,0,565,29367,"",7.21,1.71,1.11,0.00,0.00,0.65,0.65,"",1,10.0,-10,-7.8,-87649,-2.5,0,0.0,0,0.0,30,5.6,1558,5.6
"01029","3","10","71","0","2017","A","",32,604,21845105,956477,12637,696,36197,"",8.62,2.89,2.72,4.60,8.41,0.94,0.94,"",-1,-3.0,-14,-2.3,-91705,-0.4,-299223,-23.8,-7156,-36.2,13,1.9,686,1.9
"01029","5","10","71","0","2017","A","",166,1376,64009757,14289442,279525,895,46519,"",0.79,0.76,0.82,0.96,0.96,1.09,1.09,"",1,0.6,-100,-6.8,-2603573,-3.9,-569075,-3.8,-74216,-21.0,27,3.1,1391,3.1
"01031","0","10","70","0","2017","A","",1086,15673,529870519,124534582,1780412,650,33809,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.1,373,2.4,22270562,4.4,-467614,-0.4,-172165,-8.8,12,1.9,633,1.9
"01031","1","10","71","0","2017","A","",16,240,14095663,0,0,1129,58691,"",2.43,0.79,0.94,0.00,0.00,1.20,1.20,"",0,0.0,7,3.0,1005928,7.7,0,0.0,0,0.0,49,4.5,2552,4.5
"01031","2","10","71","0","2017","A","",22,434,17376723,0,0,770,40023,"",2.87,0.86,0.96,0.00,0.00,1.12,1.12,"",1,4.8,12,2.8,706430,4.2,0,0.0,0,0.0,11,1.4,543,1.4
"01031","3","10","71","0","2017","A","",42,1894,71594427,2067012,12553,727,37801,"",2.25,1.24,1.54,1.22,1.37,1.25,1.25,"",0,0.0,41,2.2,3361789,4.9,55421,2.8,685,5.8,19,2.7,970,2.6
"01031","5","10","71","0","2017","A","",1006,13104,426803706,122467570,1767859,626,32570,"",0.96,0.98,0.95,1.00,1.00,0.96,0.96,"",11,1.1,312,2.4,17196415,4.2,-523035,-0.4,-172850,-8.9,10,1.6,550,1.7
"01033","0","10","70","0","2017","A","",1290,23797,1030438947,181443159,3064772,833,43301,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,-110,-0.5,21219754,2.1,1127793,0.6,-136834,-4.3,21,2.6,1086,2.6
"01033","1","10","71","0","2017","A","",14,598,61661654,0,0,1982,103084,"",1.79,1.29,2.12,0.00,0.00,1.64,1.64,"",0,0.0,-62,-9.4,-5175348,-7.7,0,0.0,0,0.0,36,1.8,1880,1.9
"01033","2","10","71","0","2017","A","",18,659,25083698,0,0,732,38063,"",1.97,0.86,0.71,0.00,0.00,0.83,0.83,"",0,0.0,1,0.2,829991,3.4,0,0.0,0,0.0,23,3.2,1217,3.3
"01033","3","10","71","0","2017","A","",46,3263,131581100,1420460,12908,775,40323,"",2.07,1.40,1.46,0.57,0.82,1.04,1.04,"",0,0.0,-68,-2.0,4374149,3.4,2287,0.2,-1877,-12.7,41,5.6,2131,5.6
"01033","5","10","71","0","2017","A","",1212,19277,812112495,180022699,3051864,810,42129,"",0.97,0.95,0.93,1.01,1.00,0.97,0.97,"",1,0.1,19,0.1,21190962,2.7,1125506,0.6,-134957,-4.2,20,2.5,1058,2.6
"01035","0","10","70","0","2017","A","",254,3415,121373186,25451704,401280,684,35544,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.8,-13,-0.4,3059679,2.6,-243811,-0.9,-12941,-3.1,20,3.0,1034,3.0
"01035","1","10","71","0","2017","A","",4,28,1243654,0,0,847,44023,"",2.59,0.42,0.36,0.00,0.00,0.85,0.85,"",0,0.0,1,3.7,61006,5.2,0,0.0,0,0.0,-1,-0.1,-51,-0.1
"01035","2","10","71","0","2017","A","",12,178,7952547,0,0,858,44635,"",6.69,1.62,1.92,0.00,0.00,1.18,1.18,"",0,0.0,1,0.6,140377,1.8,0,0.0,0,0.0,9,1.1,498,1.1
"01035","3","10","71","0","2017","A","",20,516,18171996,138589,817,678,35246,"",4.58,1.55,1.71,0.40,0.40,1.10,1.10,"",0,0.0,10,2.0,924119,5.4,25213,22.2,147,21.9,22,3.4,1154,3.4
"01035","5","10","71","0","2017","A","",218,2693,94004989,25313115,400463,671,34910,"",0.89,0.93,0.91,1.01,1.00,0.98,0.98,"",2,0.9,-26,-1.0,1934177,2.1,-269024,-1.1,-13088,-3.2,20,3.1,1044,3.1
"01037","0","10","70","0","2017","A","",122,1384,50160998,9734733,165299,697,36241,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.8,40,3.0,1895786,3.9,155900,1.6,-17295,-9.5,6,0.9,327,0.9
"01037","1","10","71","0","2017","A","",5,17,793738,0,0,885,46014,"",6.75,0.63,0.56,0.00,0.00,0.87,0.87,"",0,0.0,-1,-5.6,32559,4.3,0,0.0,0,0.0,68,8.3,3530,8.3
"01037","2","10","71","0","2017","A","N",11,0,0,0,0,0,0,"N",12.76,0,0,0,0,0,0,"N",2,22.2,0,0,0,0,0,0,0,0,0,0,0,0
"01037","3","10","71","0","2017","A","N",16,0,0,0,0,0,0,"N",7.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","10","71","0","2017","A","",91,1035,39577568,9661616,164869,735,38230,"",0.77,0.88,0.93,1.01,1.00,1.06,1.06,"",-2,-2.2,42,4.2,1800921,4.8,159365,1.7,-17273,-9.5,3,0.4,181,0.5
"01039","0","10","70","0","2017","A","",899,12453,444212298,94767921,2262700,686,35671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.3,298,2.5,26581656,6.4,4307714,4.8,150291,7.1,25,3.8,1312,3.8
"01039","1","10","71","0","2017","A","",13,114,6307919,0,0,1063,55252,"",2.38,0.47,0.50,0.00,0.00,1.07,1.07,"",0,0.0,-4,-3.4,67125,1.1,0,0.0,0,0.0,45,4.4,2327,4.4
"01039","2","10","71","0","2017","A","",15,373,16284857,0,0,839,43610,"",2.36,0.93,1.07,0.00,0.00,1.15,1.15,"",0,0.0,4,1.1,760656,4.9,0,0.0,0,0.0,31,3.8,1586,3.8
"01039","3","10","71","0","2017","A","",47,1580,52518388,317110,1871,639,33231,"",3.04,1.30,1.35,0.25,0.16,1.04,1.04,"",-1,-2.1,-16,-1.0,330760,0.6,8637,2.8,-3341,-64.1,10,1.6,532,1.6
"01039","5","10","71","0","2017","A","",824,10385,369101134,94450811,2260829,683,35542,"",0.95,0.98,0.98,1.02,1.00,1.00,1.00,"",3,0.4,313,3.1,25423115,7.4,4299077,4.8,153632,7.3,27,4.1,1419,4.2
"01041","0","10","70","0","2017","A","",258,3725,129744378,29220161,540373,670,34834,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-82,-2.2,-4747869,-3.5,-1831986,-5.9,-128176,-19.2,-9,-1.3,-493,-1.4
"01041","1","10","71","0","2017","A","",9,40,1620185,0,0,782,40674,"",5.74,0.55,0.44,0.00,0.00,0.80,0.80,"",0,0.0,3,8.1,20114,1.3,0,0.0,0,0.0,-53,-6.3,-2767,-6.4
"01041","2","10","71","0","2017","A","",9,46,1918811,0,0,799,41563,"",4.94,0.38,0.43,0.00,0.00,1.12,1.12,"",-1,-10.0,-2,-4.2,-30931,-1.6,0,0.0,0,0.0,16,2.0,873,2.1
"01041","3","10","71","0","2017","A","",22,540,18192145,288820,1703,648,33705,"",4.96,1.49,1.60,0.73,0.61,1.08,1.08,"",0,0.0,8,1.5,517180,2.9,13753,5.0,80,4.9,8,1.2,450,1.4
