School,ACT,Zipcode
Riverside,15.77,53211
Robert Kupper Learning Center,15,54660
Rock River Charter,14.13,53548
Rock University High,20.7,53546
Rosholt,20.38,54473
Royall,18.42,53929
Rural Virtual Academy,18.4,54451
Saint Croix Virtual,17.55,54015
Saint Croix Central,21.92,54015
Saint Croix Falls,19.43,54024
Saint Francis,17.83,53235
Sauk Prairie,20.22,53578
School of Arts and Performance (KM),23.03,53183
Seneca,19.76,54626
Sevastopol,19.6,54235
Seymour,20.06,54165
Shabazz-City,21.13,53704
Shalom,12,53205
Shawano,19.32,54166
Sheboygan Falls,20.33,53085
Shell Lake,19.7,54871
Shiocton,19.25,54170
Shorewood,23.58,53211
Shullsburg,18.8,53586
Siren,18.39,54872
Slinger,21.68,53086
Solon Springs,18,54873
Somerset,20.82,54025
South Accelerated Academy,10.33,53220
South Division,13.76,53204
South (Sheboygan),17.94,53081
South (Waukesha),18.45,53186
South Milwaukee,18.59,53172
South Shore,18.75,54865
Southern Door,19.78,54204
Southwest,19.21,54304
Southwestern Wisconsin,20.33,53811
Sparta Alt Independent,14.75,54747
Sparta,18.97,54656
Sparta High Point,18.6,54656
Spencer,19.31,54479
Spooner,19.6,54801
Spring Valley,20.5,54767
Stanley Boyd,19.63,54768
Stevens Point,19.84,54481
Stockbridge,21,53088
Stoughton,20.89,53589
Stratford,20.5,54484
Sturgeon Bay,21.24,54235
Sun Prairie,21.1,53590
Superior,19.2,54880
Suring,18.46,54174
TAGOS,17.2,53545
Tenor,18.88,53202
Tesla Engineering,25.92,54915
REAL,20.2,53177
Thorp,18.19,54771
Three Lakes,20.34,54562
Tigerton,17.32,54486
Tomah,18.95,54660
Tomahawk,20.06,54487
Transition,15.2,53208
Tremper,18.88,53143
Tri-County,17.95,54966
Turner,18.96,53511
Turtle Lake,21.5,54889
Two Rivers,18.77,54241
Union Grove,20.07,53182
Unity,17.34,54810
Valders,19.77,54245
Valley New School,22.18,54911
Veritas,19.38,53215
Verona,21.31,53593
Vincent,13.89,53224
Viroqua,19.71,54665
Wabeno,17.04,54566
Walden III,21.03,53405
Walworth Co Alt,14.8,53156
Wasburn,18.03,54891
Waterford,22.17,53185
Waterloo,19.28,53594
Watertown,19.14,53098
Waukesha Academy of Health Professions,19.15,53186
Waukesha East Alternative,14.29,53186
Waukesha Engineering Prep,25.16,53186
Waunakee,23.36,53597
Waupaca,20.3,54981
Waupun Area,19.14,53963
Wausau Engineering Global Leadership,23.07,54403
Wausaukee,19.44,54177
Wautoma,17.8,54982
Wauwatosa Virtual Academy,17.46,53226
Wauzeka,21,53826
Webster,19.1,54893
West Allis Learning Center,15.32,53214
West De Pere,21.57,54115
West (Madison),22.75,53726
West (Oshkosh),19.76,54902
West (Waukesha),22.07,53189
West (Wausau),19.31,54401
West (Appleton),18.3,54914
West (Wauwatosa),20.16,53222
West (Green Bay),17.25,54303
West (West Bend),20.25,53095
West Salem,21.05,54669
Westby,18.76,54667
Westfield Area,19.48,53964
Weston,19.5,53924
Weyuawega,19.89,54983
White Lake,18.08,54491
Whitefish Bay,24.83,53217
Whitehall Memorial,18.47,54773
Whitewater,20.4,53190
Whitnall,21.19,53228
WHS IT,13.29,53208
Wild Rose,19.92,54984
Williams Bay,20.37,53191
Wilmont,19.53,53192
Winneconne,21.29,54986
Winter,17.74,54896
Wisconsin Connections Academy,19.18,54911
Wisconsin Conservatory of Lifelong Learning,13.22,53221
Wisconsin Dells,19.15,53965
Wisconsin Heights,20.65,53560
Wisconsin Virtual Academy,17.62,53558
Wisconsin Virtual Learning,20.14,53021
Wittenberg-Biramwood,18.49,54499
Wonewoc Center,19.2,53968
Wrightstown,21.93,54180
